"Story","Title","Result","Date","Stability","Duration (s)"
"HU-004 Buscador Adidas Fallido/exitoso","Buscar algo que no exista -->Fallido","FAILURE","2021-06-16T13:20:18.877-05:00[America/Bogota]","0.0","47.45"
"HU-004 Buscador Adidas Fallido/exitoso","Buscar un producto existente en la tienda -->Exitoso","SUCCESS","2021-06-16T13:21:09.277-05:00[America/Bogota]","0.0","26.24"
